Code switched query,High level class,Lower level class
nanage common cold prevent durane je lie enu durana padega,MEDICAL,PREVENTION
What preventions should I take so that swine flu nanage barada hage,MEDICAL,PREVENTION
What preventions should i tage so that coronavirus nanage barada hage,MEDICAL,PREVENTION
Regular yoga se common cold prevent aagutte enu,MEDICAL,PREVENTION
Yoga yava disease prevent maduttade,MEDICAL,PREVENTION
Honey upayoga yava disease prevent maduttade,MEDICAL,PREVENTION
Lugewarm water enu disease prevent maduttade,MEDICAL,PREVENTION
Common cold annu hege prevent maduvudu,MEDICAL,PREVENTION
nanage enu precautions togolabeku to avoid coronavirus,MEDICAL,PREVENTION
nanage yava precautions togolabeku to prevent malaria,MEDICAL,PREVENTION
enu precautions togolabeku to prevent swine flu,MEDICAL,PREVENTION
hege coronavirus du spread stop maduvudu,MEDICAL,PREVENTION
malaria na spread hege stop maduvudu,MEDICAL,PREVENTION
what to do ki coronavirus na spread stop aguvudakke,MEDICAL,PREVENTION
swine flu na spread tadeyuvudakke what to do,MEDICAL,PREVENTION
what to do malaria spread nilluvudakke,MEDICAL,PREVENTION
enu precautions upayoga aagutte to prevent common cold,MEDICAL,PREVENTION
headaaru prevent maduvudakdugi luckwarm water togolabeku enu,MEDICAL,PREVENTION
honey tegedugelluvudarinda common flu prevent maduttade enu,MEDICAL,PREVENTION
enu precautions upayoga aagutte to prevent malaria,MEDICAL,PREVENTION
mane alli iruvudarinda coronavirus prevent aagutta enu,MEDICAL,PREVENTION
social distancing rinda coronavirus stop aagutte enu,MEDICAL,PREVENTION
social distances estu important ide to stop coronavirus,MEDICAL,PREVENTION
social distances hege coronavirus stop maduttade,MEDICAL,PREVENTION
handwash maduvudarinda coronavirus prevent aagutta enu,MEDICAL,PREVENTION
regular handwash maduvudu estu important ide to prevent coronavirus,MEDICAL,PREVENTION
estu hottu handwash maduvudarinda coronavirus inda safe we can be,MEDICAL,PREVENTION
handwash will prevent us from yava disease,MEDICAL,PREVENTION
What preventive measures should i take so that common cold nanage barade haage iralu,MEDICAL,PREVENTION
What preventive measures should i take so that swine flu nanage barade iralu,MEDICAL,PREVENTION
yavaga doctor annu call maduvudu ide about food poisoning,MEDICAL,TREATMENT
enu tips ide to treat broken toenails at home,MEDICAL,TREATMENT
enu tips ide to treat broken fingernails at home,MEDICAL,TREATMENT
hege my child's bruised or swollen eye treat maduvudu,MEDICAL,TREATMENT
hege swollen eye ghar pe sari maduvudu,MEDICAL,TREATMENT
infection ge signs enu ide,MEDICAL,SYMPTOMS
septic signs enu ide,MEDICAL,SYMPTOMS
hege wasp sting annu treat maduvudu,MEDICAL,TREATMENT
hege bee sting annu treat maduvudu,MEDICAL,TREATMENT
sunburn annu hege treat maduvudu,MEDICAL,TREATMENT
tan treatment ge tips do,MEDICAL,TREATMENT
blister annu drain hege maduvudu,MEDICAL,TREATMENT
mosquito bite annu treat hege maduvudu,MEDICAL,TREATMENT
maknaleige heat rash treatment helu,MEDICAL,TREATMENT
how to treat scars from dodda cuts,MEDICAL,TREATMENT
how to treat burn marks in maknalealli,MEDICAL,TREATMENT
spider bite na treatment ide enu,MEDICAL,TREATMENT
minor cut annu clean hege maduvudu,MEDICAL,TREATMENT
quick dehydration treatments helu,MEDICAL,TREATMENT
Book a bus ticket to Delhi bhanuvar ge,BOOKING,TRAVEL_BOOKING
Book the bus tickets to Delhi indu sanje ge,BOOKING,TRAVEL_BOOKING
Book a table for aidu jana,BOOKING,RESTAURANT
Book a table for aidu people,BOOKING,RESTAURANT
Book the restaurant for ippattidu people,BOOKING,RESTAURANT
Book rooms for nalku days,BOOKING,HOTEL
Book a cab to KR Market 10 gante ge,BOOKING,TRAVEL_BOOKING
Book 3 train tickets for arunnai nale ratri ge,BOOKING,TRAVEL_BOOKING
Book a flight for 8 gante ge nale dehli ge,BOOKING,TRAVEL_BOOKING
Book bus tickets for 8 people shanivaar ge,BOOKING,TRAVEL_BOOKING
Book flight ticket madhyahn ge,BOOKING,TRAVEL_BOOKING
Book a bus Rajput ge Jaipur nale belghge ge,BOOKING,TRAVEL_BOOKING
Bus ge ondu ticket book madu Jaipur to Delhi,BOOKING,TRAVEL_BOOKING
railgadi book madu Delhi to Bangalore,BOOKING,TRAVEL_BOOKING
Reserve a table in shanti sagar hotel for aaru jana,BOOKING,RESTAURANT
Reserve restaurant hattu gante ge at shanti samudrad,BOOKING,RESTAURANT
restaurant na booking madu at nandini,BOOKING,RESTAURANT
restaurant na booking madu aidu jana ge,BOOKING,RESTAURANT
Book muru railway ticket from Delhi to Bangalore,BOOKING,TRAVEL_BOOKING
nann hattirada restaurant 8 o clock book madu,BOOKING,RESTAURANT
Book gaadi from Cmrjpet to indiranif,BOOKING,TRAVEL_BOOKING
Reserve muru train tickets from dehli to bangalore,BOOKING,TRAVEL_BOOKING
Reserve nalku train tickets from dehli to arunai,BOOKING,TRAVEL_BOOKING
Reserve muru bus tickets from arunai to bangalore,BOOKING,TRAVEL_BOOKING
Reserve two train tickets from ooty to mysoru,BOOKING,TRAVEL_BOOKING
Reserve ondu train ticket from jaipur to mumbai,BOOKING,TRAVEL_BOOKING
Book train tickets for nalku people shanivaar ge,BOOKING,TRAVEL_BOOKING
Book table for 3 madhyahn ge at orian mall,BOOKING,RESTAURANT
Regerve a bus Rajput ge Jaipur nale belghge ge,BOOKING,TRAVEL_BOOKING
Bus na ondu ticket book madu from Bengaluru to ooty,BOOKING,TRAVEL_BOOKING
Reserve a table at shanti sif for aidu jana,BOOKING,RESTAURANT
Book the hall for ippattidu jana at sheraton hotel,BOOKING,RESTAURANT
Book a room for nalku days at crown hotel,BOOKING,HOTEL
Book a cab to malleshwarm 4 gante ge tomorrow,BOOKING,TRAVEL_BOOKING
Reserve the table at hattirada hotel 8 gante,BOOKING,RESTAURANT
Book a gaadi from chamarajpet 4 gante ge to KR market,BOOKING,TRAVEL_BOOKING
Reserve muru flight tickets from dehli to bangalore,BOOKING,TRAVEL_BOOKING
Regerve five train tickets nale sanje dehli inda bangalore ge,BOOKING,TRAVEL_BOOKING
Reserve the table at nandini nale 4 gante,BOOKING,RESTAURANT
Book a gaadi from malleshwaram to indiranif,BOOKING,TRAVEL_BOOKING
nalku jana galige table book madu at lalit ashok,BOOKING,RESTAURANT
book a room for nalku days at Vivanta,BOOKING,HOTEL
book a room for ondu dina at Vivanta,BOOKING,HOTEL
book a room in mumbai for elu dina,BOOKING,HOTEL
room search madu in mumbai on 27th,BOOKING,HOTEL
room book madu in arunai on 25th,BOOKING,HOTEL
room search madu in goa on 29th,BOOKING,HOTEL
aruapest hotels hudku hyderabad alli,BOOKING,HOTEL
luxury villa rooms hudku in gechchin,BOOKING,HOTEL
book a room for entu jana in crown mumbai,BOOKING,HOTEL
search rooms for aaru jana in punjab,BOOKING,HOTEL
search elladakkinta aruap rooms in bangalore,BOOKING,HOTEL
elladakkinta aruap rooms hudku for six people in indor,BOOKING,HOTEL
book rooms with breakfast in shimla for entu dina,BOOKING,HOTEL
shimla to nainital gaagi gaadi book madu,BOOKING,TRAVEL_BOOKING
goa to dandeli ge ondu gaadi book madu,BOOKING,TRAVEL_BOOKING
nann hubballi to bangalore ge hogalu gaadi book madu,BOOKING,TRAVEL_BOOKING
aruapest flights to pune huduku,BOOKING,TRAVEL_BOOKING
search dudime hana flights from mysoru to mangalore,BOOKING,TRAVEL_BOOKING
hadimuru janakdugi bus tickets to mandya book madu,BOOKING,TRAVEL_BOOKING
book nale belghge ge bus tickets for 20 people,BOOKING,TRAVEL_BOOKING
nale ratri ge train tickets to paondiarurry book madu,BOOKING,TRAVEL_BOOKING
book sanje flight to goa,BOOKING,TRAVEL_BOOKING
book ratri train to gelkta,BOOKING,TRAVEL_BOOKING
book nale belghge ge train to jammu,BOOKING,TRAVEL_BOOKING
nale ratri ge train to dushmir book madu,BOOKING,TRAVEL_BOOKING
search flight prices gelkta ge hogalu,BOOKING,TRAVEL_BOOKING
nann hubballi to dandeli ge hogalu gaadi book madu,BOOKING,TRAVEL_BOOKING
nann hubballi to dandeli ge hogalu gaadi book madu,BOOKING,TRAVEL_BOOKING
indu ratri taj restaurant ralli six people di lie table book madu,BOOKING,RESTAURANT
Book table for 3 ratri ge at orian mall,BOOKING,RESTAURANT
Book table for nalku jana ratri ge at mcd mantri mall,BOOKING,RESTAURANT
Book table for elu jana at noon at krishna bhavana,BOOKING,RESTAURANT
reserve a table 5 jana galige at mainland china,BOOKING,RESTAURANT
mainland china ralli 7 jana galige table book madu,BOOKING,RESTAURANT
nanage 25th december ge hotel plaza ralli eradu rooms book madu,BOOKING,HOTEL
hotel casin ralli nalku jana galige room book madu,BOOKING,HOTEL
dehli alli ondu hotel room book madu,BOOKING,HOTEL
nalku jana galige hotel book madu at lalit ashok,BOOKING,HOTEL
book a room in taj for aaru jana,BOOKING,HOTEL
reserve room for conference dehli hotel ralli,BOOKING,HOTEL
reserve 5 star hotel room mumbai ralli on 27th,BOOKING,HOTEL
reserve nalku star hotel mumbai ralli on 27th Faebruary,BOOKING,HOTEL
reserve muru star hotel goa ralli on 27th,BOOKING,HOTEL
dehli ge train book on 19th,BOOKING,TRAVEL_BOOKING
mumbai hogalu 19th ge ondu bus book madu,BOOKING,TRAVEL_BOOKING
eradu janakke 18th ge flight to mumbai book madu,BOOKING,TRAVEL_BOOKING
train tickets to goa from bangalore on 8th reserve madu,BOOKING,TRAVEL_BOOKING
muru bus tickets to goa from kerala reserve madu,BOOKING,TRAVEL_BOOKING
ondu bus ticket to goa from kerala reserve madu,BOOKING,TRAVEL_BOOKING
goa ge hogalu gaadi reserve madu,BOOKING,TRAVEL_BOOKING
book pondiarurry ge hogalu 6 flight tickets,BOOKING,TRAVEL_BOOKING
8 janakke goa ge flight book madu on 16th,BOOKING,TRAVEL_BOOKING
indu ratri taj restaurant alli aaru people gaagi table book madu,BOOKING,RESTAURANT
indu madhyahn ge 3 people ge table in book madu at taj,BOOKING,RESTAURANT
ondu ticket to goa nale gaagi book madu,BOOKING,TRAVEL_BOOKING
ondu bus ticket to dandeli ge book madu,BOOKING,TRAVEL_BOOKING
8 gante ge leela alli table book madu,BOOKING,RESTAURANT
6 gante sanje gayathri alli table reserve madu,BOOKING,RESTAURANT
9 gante mainland china ralli 3 janakke table reservation madu,BOOKING,RESTAURANT
I'd like to book a trip to Atlantis from Caprica on shanivaar August 13 2016 for entu adults,BOOKING,VACATION
nannu bus inda hogabekide on the 17th of August,BOOKING,TRAVEL_BOOKING
book a muru dina da trip leaving from Melbourne on August 27,BOOKING,VACATION
"please nanage ondu trip book madu from vancouver, Jamaica to Recife.",BOOKING,VACATION
naanu mattu nanna family want to take a trip to dudurige Village.,BOOKING,VACATION
Hi naanu Caprica inda idini and am looking to book a vacation to Hyrule,BOOKING,VACATION
nann delhi inda Las Vegas ge Wednesday August 17 ge hogabekide,BOOKING,TRAVEL_BOOKING
nann help madu to find a trip to Philadelphia from Maceio.,BOOKING,VACATION
naanu ondu business trip book madalu bayasuttene to New York from Mannheim,BOOKING,VACATION
I would like a vacation for nalku people in Mannheim from August 17 to September 7,BOOKING,VACATION
i am planning on booking a vacation soon August 27th sutta mutta,BOOKING,VACATION
muru adults and nalku kids looking for a vacation between August 18 and September 4,BOOKING,VACATION
nanage Caprica ge trips torisu,BOOKING,VACATION
naanu Boston hogalu bayasuttene from Mos Eisley on August 15th.,BOOKING,VACATION
Hi naanu looking to make a sanna trip from tampa and want to go to Dallas,BOOKING,VACATION
naanu bangalore inda idini and looking to get away on a short trip this month,BOOKING,VACATION
I'd like to go to Nanaus from Miami august 19th belghge,BOOKING,VACATION
Hi. I am in dire need of a vacation. yavudadru olle trips torisu,BOOKING,VACATION
vacation to Long Beach August 25 ge torisu,BOOKING,VACATION
nanna wife and nanage honeymoon du trips torisu,BOOKING,VACATION
nanna wife and nanage honeymoon trips torisu,BOOKING,VACATION
Hey naanu looking for a nice get away trips enadru suggestions idena,BOOKING,VACATION
police nanna hinde idare and I need to leave gebe on August 27,BOOKING,VACATION
Hi we're from Miami naaavu paris hogabeku can you help out with trips?,BOOKING,VACATION
nanage Fukuodu ge vacation trips torisu,BOOKING,VACATION
I'd like to plan a honeymoon in Naples for hattu dina leaving from Madrid on August 17,BOOKING,VACATION
Hi i want to plan nann honeymoon rome ralli,BOOKING,VACATION
"Hi naanu from Houston and i want to go to San antonio, but i have strict dates enadaru suggestions idena",BOOKING,VACATION
Hi naanu from Los Angeles and olle vacation trips gaagi hudukutiddene,BOOKING,VACATION
enu nivu vacation pacduges leaving from Portland torislaguttide can ho,BOOKING,VACATION
nanage vacation trips on August 26th agatyavide,BOOKING,VACATION
i am looking for a vacation mundina tingalu alli,BOOKING,VACATION
nanage baltimore na trip details agatyavide,BOOKING,VACATION
yavudadaru trips ide enu from godric's Hollow on August 13th.,BOOKING,VACATION
nanna nalku best friends mattu naanu looking for a trip to Neverlnd on August 16,BOOKING,VACATION
"Hi naanu from Barcelona, looking for a muru dina da trip",BOOKING,VACATION
hey i have hadinidu kids. We want a trip to bangalore,BOOKING,VACATION
I'd like to book a trip from Chicago to San Diego on hadinelu dicembar,BOOKING,VACATION
nanage trip pacduges to antonio torisu,BOOKING,VACATION
yaradaru good! si vacation trips torisu,BOOKING,VACATION
"hello, I want to book a gaadi to Coruscant.",BOOKING,TRAVEL_BOOKING
"hey, I'm looking to find bus na ticket from Valencia to Osadu.",BOOKING,TRAVEL_BOOKING
ondu Naples na olle pacduge torisuttiya,BOOKING,VACATION
san antonio ge gaadi book madu,BOOKING,TRAVEL_BOOKING
book bus na tickets for spring break for nalku people.,BOOKING,TRAVEL_BOOKING
hi I am burnt out nanage olle vacation agatyavide,BOOKING,VACATION
namage elladaru wild hogabeku like San Juan trips,BOOKING,VACATION
"Hi, I'm looking to book a trip from Termina to Atlantis with my family of nalku adults and elu kids",BOOKING,VACATION
nanage bus ticket from Madrid book madabeku,BOOKING,TRAVEL_BOOKING
nanage bus du ticket from Madrid reserve madabekide,BOOKING,TRAVEL_BOOKING
nanage flight na ticket from Madrid reserve madabekide,BOOKING,TRAVEL_BOOKING
nanage muru train du ticket from Madrid reserve madabekide,BOOKING,TRAVEL_BOOKING
nanage aidu flight du ticket from Bangalore reserve madabekide,BOOKING,TRAVEL_BOOKING
Find the nearest sabji shop,GENERIC,SHOW_NEAREST
Closest Suḷḷu angadi,GENERIC,SHOW_NEAREST
Find me the nearest darjivala,GENERIC,SHOW_NEAREST
Search the closest sihi maratagara,GENERIC,SHOW_NEAREST
Find me the nearest halugara,GENERIC,SHOW_NEAREST
Find me the nearest Kesa vinyasa angadi,GENERIC,SHOW_NEAREST
Find me the closest istiri angadi,GENERIC,SHOW_NEAREST
Show me the nearest cammara,GENERIC,SHOW_NEAREST
Search for minu angadi around me,GENERIC,SHOW_NEAREST
Show the nearest batte du angadi,GENERIC,SHOW_NEAREST
Find nearest uta da angadi,GENERIC,SHOW_NEAREST
find nearest ausadhi angadi,GENERIC,SHOW_NEAREST
Show me the directions to the nearest halugara,GENERIC,SHOW_NEAREST
Show me the directions to marudutte,GENERIC,SHOW_NEAREST
Search for granthalaya,GENERIC,SHOW_NEAREST
Show the nearest Landri,GENERIC,SHOW_NEAREST
Find me the nearest aspatre,GENERIC,SHOW_NEAREST
Show the nearest sihi angadi,GENERIC,SHOW_NEAREST
Search the closest batte angadi,GENERIC,SHOW_NEAREST
Show the nearest ausadhi angadi,GENERIC,SHOW_NEAREST
Find nearest chappali angadi,GENERIC,SHOW_NEAREST
Show me the directions to the nearest algehal angadi,GENERIC,SHOW_NEAREST
Show the nearest abhusan angadi,GENERIC,SHOW_NEAREST
Find me the nearest hannu angadi,GENERIC,SHOW_NEAREST
Show me the directions to the nearest abji mandi,GENERIC,SHOW_NEAREST
Find me the nearest nrrtya taragatigalu,GENERIC,SHOW_NEAREST
Find me the nearest sangita taragatigalu,GENERIC,SHOW_NEAREST
Search the closest devalaya,GENERIC,SHOW_NEAREST
Show me the nearest purasabhe ayuktaru,GENERIC,SHOW_NEAREST
Show nearest aspatre,GENERIC,SHOW_NEAREST
FInd me the closest darji,GENERIC,SHOW_NEAREST
Closest way to marudutte,GENERIC,SHOW_NEAREST
Nearest cay angadi,GENERIC,SHOW_NEAREST
Closest way to udyanavana,GENERIC,SHOW_NEAREST
Search for closest cricket maidan,GENERIC,SHOW_NEAREST
Show directions for closest devalaya,GENERIC,SHOW_NEAREST
Find electronics angadi near me,GENERIC,SHOW_NEAREST
Nearest bhagiyoca,GENERIC,SHOW_NEAREST
Nearest cay tapri,GENERIC,SHOW_NEAREST
Find darjivala near me,GENERIC,SHOW_NEAREST
Show the directions to granthalaya,GENERIC,SHOW_NEAREST
Show bank hoguva raste,GENERIC,SHOW_NEAREST
Bus stop elli Ide,GENERIC,SHOW_NEAREST
Railway station elli baruttade,GENERIC,SHOW_NEAREST
Nanage bus stop du direction torisu,GENERIC,SHOW_NEAREST
Set an alarm 6 gante ge ,GENERIC,REMINDER
Remind me nale doctor du appointment ide,GENERIC,REMINDER
Remind me nalku gante ge movie hogabeku,GENERIC,REMINDER
Remind nale dentist du appointment ide,GENERIC,REMINDER
Remind 27th december ge flight ide,GENERIC,REMINDER
Remind nale car servicing center hogabeku,GENERIC,REMINDER
Note nale dentist du appointment ide,GENERIC,REMINDER
Set an alarm ombattu gante ge,GENERIC,REMINDER
Set an alarm hannondu gante ge,GENERIC,REMINDER
Remind 27th december ge flight ide,GENERIC,REMINDER
Remind me indu ratri flight book Madabedudaddu,GENERIC,REMINDER
Remind 27th january ge bus ide,GENERIC,REMINDER
Remind 27th february ge train ide,GENERIC,REMINDER
Alarm set madu hattu gante ge,GENERIC,REMINDER
Alarm set madu ombattu gante ge,GENERIC,REMINDER
Remind me 7 gante ge movie hogabeku,GENERIC,REMINDER
Remind me nale groceries tegedugellabeku,GENERIC,REMINDER
Remind me 7 gante ge dentist hattira hogabeku,GENERIC,REMINDER
Remind me tomorrow sabji tegedugellabeku,GENERIC,REMINDER
Remind me nale electicity bill pay madabedudaddu,GENERIC,REMINDER
Remind me nale subzi khareed na ide,GENERIC,REMINDER
Remind me 25th ge paani du bill pay madabedudaddu,GENERIC,REMINDER
Remind me nale gas order madabedudaddu,GENERIC,REMINDER
Remind me nale electicity du bill pay madabedudaddu,GENERIC,REMINDER
Remind me 15th ge phone bill pay madabedudaddu,GENERIC,REMINDER
Alarm set madu ombattu gante ge bus ide,GENERIC,REMINDER
Alarm set madu ombattu gante ge manager jote meeting ide,GENERIC,REMINDER
Alarm set madu ombattu gante ge client jote meeting ide,GENERIC,REMINDER
Alarm set madu ombattu gante ge inteview call ide,GENERIC,REMINDER
Remind me nale amma ge call madabeku,GENERIC,REMINDER
Remind me nale appa ge hanavannu duluhisalaguttide,GENERIC,REMINDER
Remind me nale akdu ge raakhi gift duluhisalaguttide,GENERIC,REMINDER
Remind me nale appa ge medicines duluhisalaguttide,GENERIC,REMINDER
Alarm set madu aru gante ge inteview ide,GENERIC,REMINDER
Alarm set madu aru gante ge serial release ide,GENERIC,REMINDER
Alarm set madu muru gante ge mall hogabeku,GENERIC,REMINDER
Alarm set madu aru gante ge hospital appointment ide,GENERIC,REMINDER
Remind me 17th ge English assignment submit madabedudaddu,GENERIC,REMINDER
Remind me 15th ge Maths du assignment kodabeku,GENERIC,REMINDER
Remind me 17th ge match hogabeku,GENERIC,REMINDER
Note 14th october dusshera ide,GENERIC,REMINDER
Note 15Th august office du holiday,GENERIC,REMINDER
Remind me nale teaarur ge email kaluhisalabeku,GENERIC,REMINDER
Remind me 19Th ge Physics test ide,GENERIC,REMINDER
Remind me nale friend ge gift kharidi madbeku,GENERIC,REMINDER
Remind me nale to wish my friend,GENERIC,REMINDER
Note 18th may amma na birthday ide,GENERIC,REMINDER
nale 5 o'clock ge remind madu to go to the dentist,GENERIC,REMINDER
indu 10 o'clock ge remind madu to go to the salon,GENERIC,REMINDER
nale 5 o'clock ge remind madu dentist hattira hogabeku,GENERIC,REMINDER
indu 5 o'clock ge remind madu i have to go the gym,GENERIC,REMINDER
12 o'clock alarm idu to wish my friend for her birthday,GENERIC,REMINDER
Note 25th december ge christmas ide,GENERIC,REMINDER
remind me 13th i have to submit maths du assignment,GENERIC,REMINDER
7 am ge alarm idu,GENERIC,REMINDER
9 am ge wake up alarm set madu,GENERIC,REMINDER
indu 11 am ge wake up alarm,GENERIC,REMINDER
10 gante alarmidu,GENERIC,REMINDER
set an alarm tuesdays 1 pm to watch hosa episodes of blindspot,GENERIC,REMINDER
parti wednesday 7 am ge alarm idu,GENERIC,REMINDER
indu ella alarms cancel madu,GENERIC,REMINDER
nale du ella alarms cancel madu,GENERIC,REMINDER
remind me nale ella bills pay madabeku,GENERIC,REMINDER
remind me 10th 1 pm ge passport verification ide,GENERIC,REMINDER
remind me naale 1 pm ge passport verification ide adukhe hogbeku,GENERIC,REMINDER
